Country,CombinedSeats,Population
Afghanistan,351,27657145
Albania,140,2886026
Algeria,606,40400000
Andorra,28,78014
Angola,220,25868000
AntiguaandBarbuda,36,86295
Argentina,329,43590400
Armenia,131,2994400
Australia,226,24104320
Austria,245,8725931
Azerbaijan,125,9730500
Bahrain,80,1404900
Bangladesh,350,160914278
Barbados,51,285000
Belarus,174,9498700
Belgium,210,11316587
Belize,43,370300
Benin,83,10653654
Bolivia,166,10985059
BosniaandHerzegovina,57,3791622
Botswana,63,2141206
Brazil,594,206063797
Brunei,36,411900
Bulgaria,240,7153784
BurkinaFaso,111,19034397
Burundi,167,10114505
Cambodia,184,15626444
Cameroon,280,22709892
Canada,443,36155487
CapeVerde,72,531239
CentralAfricanRepublic,100,4998000
Chad,155,14497000
Chile,158,18191900
China,2987,1377171510
Comoros,33,806153
CostaRica,57,4832234
Croatia,151,4225316
Cuba,614,11238317
Cyprus,59,847000
CzechRepublic,281,10558524
Denmark,179,5717014
Djibouti,65,900000
Dominica,21,71293
DominicanRepublic,215,10075045
EastTimor,65,1167242
Ecuador,124,16278844
Egypt,508,91100861
ElSalvador,84,6520675
EquatorialGuinea,170,1222442
Eritrea,104,5352000
Estonia,101,1315944
Ethiopia,659,92206005
FederatedStatesofMicronesia,14,102800
Fiji,50,867000
Finland,200,5491817
France,925,66710000
Gabon,223,1802278
Georgia,150,3720400
Germany,700,81770900
Ghana,228,27670174
Greece,300,10858018
Grenada,28,103328
Guatemala,158,16176133
Guinea,114,12947000
Guinea-Bissau,100,1547777
Guyana,65,746900
Haiti,129,11078033
Honduras,128,8576532
Hungary,262,9823000
Iceland,63,334300
India,795,1291090094
Indonesia,692,258705000
Iran,290,79330700
Iraq,325,37883543
Ireland,226,4635400
Israel,120,8515100
Italy,945,60665551
IvoryCoast,70,22671331
Jamaica,84,2723246
Japan,722,126960000
Jordan,225,9531712
Kazakhstan,124,17753200
Kenya,416,47251000
Kiribati,46,113400
"Korea,North",687,25281000
"Korea,South",300,50801405
Kuwait,50,4183658
Kyrgyzstan,120,6047800
Laos,115,6472400
Latvia,100,1962700
Lebanon,248,5988000
Lesotho,153,1894194
Liberia,103,4615000
Libya,200,6385000
Liechtenstein,25,37623
Lithuania,141,2872294
Luxembourg,60,576200
"Macedonia,Republicof",123,2069172
Madagascar,193,22434363
Malawi,194,16832910
Malaysia,292,31388072
Maldives,77,344023
Mali,160,18135000
Malta,69,425384
MarshallIslands,33,54880
Mauritania,137,3718678
Mauritius,70,1262879
Mexico,628,122273473
Moldova,101,3553100
Monaco,24,38400
Mongolia,76,3090300
Montenegro,81,621810
Morocco,595,33337529
Mozambique,250,26423700
Myanmar(Burma),664,51419420
Namibia,104,2324388
Nauru,18,10084
Nepal,601,28431500
Netherlands,225,17016920
NewZealand,120,4697916
Nicaragua,92,6262703
Niger,113,20715000
Nigeria,469,186988000
Norway,169,5223256
Oman,167,4434309
Pakistan,440,193977638
Palau,25,17950
Panama,71,3814672
PapuaNewGuinea,109,8083700
Paraguay,125,6854536
Peru,130,31488700
Philippines,316,103242900
Poland,560,38437239
Portugal,230,10374822
Qatar,35,2587564
Romania,463,19861400
Russia,620,146600000
Rwanda,106,11553188
SaintKittsandNevis,15,46204
SaintLucia,28,186000
SaintVincentandtheGrenadines,21,109991
Samoa,49,109991
SanMarino,60,194899
SãoToméandPríncipe,55,33005
SaudiArabia,150,32248200
Senegal,150,14799859
Serbia,250,7114393
Seychelles,31,91400
SierraLeone,124,7075641
Singapore,99,5535000
Slovakia,150,5426252
Slovenia,130,2064188
SolomonIslands,50,642000
Somalia,331,11079000
SouthAfrica,490,54956900
SouthSudan,220,12131000
Spain,616,46423064
SriLanka,225,20966000
Sudan,500,39598700
Suriname,51,541638
Swaziland,85,1132657
Sweden,349,9884285
Syria,250,18564000
Switzerland,246,8341600
Tajikistan,96,8547000
Tanzania,357,55155000
Thailand,250,65318084
Togo,81,7143000
Tonga,26,103252
TrinidadandTobago,72,1349667
Tunisia,217,11154400
Turkey,550,78741053
Turkmenistan,125,4751120
Tuvalu,15,10640
Uganda,375,33860700
Ukraine,450,42692393
UnitedArabEmirates,40,9856000
UnitedKingdom,1472,65097000
United States,535,323833000
Uruguay,129,3480222
Uzbekistan,250,31576400
Vanuatu,52,277500
VaticanCity,7,839
Venezuela,165,31028700
Vietnam,498,91700000
Yemen,301,27478000
Zambia,150,15933883
Zimbabwe,250,14240168
